[2026-01-10 11:37:48] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
[2026-01-10 11:37:48] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
[2026-01-10 11:38:07] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
[2026-01-10 11:38:07] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
[2026-01-10 11:43:45] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
[2026-01-10 11:43:45] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
[2026-01-10 11:44:00] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
[2026-01-10 11:47:17] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
[2026-01-10 11:47:17] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
[2026-01-10 11:47:24] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
[2026-01-10 11:47:24] resolving: Koshi Province, Sunsari, Itahari Sub-Metropolitan City, 1
